STATE/UT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total, LITERACY RATE %   (Male), LITERACY RATE % Female, LITERACY RATE %  Average,Area(km2),Population Male,Population Female,Population Total,Rural,Urban
ANDHRA PRADESH,2001,35,84,57,0,7,22,12,0,0,6,47,270,70.3,50.4,60.50,191792.00,38286811.00,37440730.00,76210007.00,55401067.00,20808940.00
ANDHRA PRADESH,2002,43,137,86,0,13,5,9,1,0,6,33,333,71.26,51.09,61.33,191792.00,38972144.92,38110919.07,77574166.13,56392746.10,21181420.03
ANDHRA PRADESH,2003,119,383,373,0,3,36,46,0,1,4,498,1463,72.23,51.79,62.16,191792.00,39650260.24,38774049.06,78923956.62,57373979.88,21549976.73
ANDHRA PRADESH,2004,71,363,396,0,2,26,60,0,0,4,406,1328,73.20,52.48,63.00,191792.00,40320349.64,39429330.49,80257771.48,58343600.14,21914171.34
ANDHRA PRADESH,2005,57,315,332,1,4,99,48,9,2,9,74,950,74.17,53.17,63.83,191792.00,40973539.30,40068085.64,81557947.38,59288766.46,22269180.92
ANDHRA PRADESH,2006,61,412,498,5,11,89,35,5,6,17,247,1386,75.14,53.87,64.66,191792.00,41604531.81,40685134.16,82813939.77,60201813.47,22612126.30
ANDHRA PRADESH,2007,76,363,609,0,6,35,37,0,11,21,341,1499,76.11,54.56,65.50,191792.00,42245241.60,41311685.23,84089274.44,61128921.39,22960353.05
ANDHRA PRADESH,2008,64,412,433,2,7,49,48,1,2,19,284,1321,77.07,55.26,66.33,191792.00,42849348.55,41902442.33,85291751.07,62003064.97,23288686.10
ANDHRA PRADESH,2009,77,416,632,6,13,77,28,1,1,0,468,1719,78.04,55.95,67.17,191792.00,43449239.43,42489076.52,86485835.58,62871107.88,23614727.70
ANDHRA PRADESH,2010,69,446,581,1,9,55,82,0,3,0,577,1823,79.01,56.65,68.00,191792.00,44053183.86,43079674.68,87687988.70,63745016.28,23942972.42
ANDHRA PRADESH,2011,101,646,735,7,11,53,106,0,2,15,537,2213,79.98,57.34,68.83,191792.00,44656712.48,43669866.22,88889314.14,64618323.00,24270991.14
ARUNACHAL PRADESH,2001,0,0,0,0,0,0,0,0,0,0,0,0,63.80,43.50,54.30,83743.00,573951.00,517166.00,1091117.00,870087.00,227881.00
ARUNACHAL PRADESH,2002,0,3,3,0,0,0,0,0,0,0,0,6,64.67,44.10,55.04,83743.00,584224.72,526423.27,1110647.99,885661.56,231960.07
ARUNACHAL PRADESH,2003,0,9,9,0,0,0,0,0,0,0,0,18,65.55,44.70,55.79,83743.00,594390.23,535583.04,1129973.27,901072.07,235996.18
ARUNACHAL PRADESH,2004,0,11,8,0,0,0,0,0,0,0,3,22,66.43,45.29,56.54,83743.00,604435.43,544634.39,1149069.82,916300.19,239984.51
ARUNACHAL PRADESH,2005,0,10,12,0,0,0,0,0,0,0,0,22,67.31,45.89,57.29,83743.00,614227.28,553457.47,1167684.75,931144.25,243872.26
ARUNACHAL PRADESH,2006,0,0,27,0,0,0,0,0,0,0,0,27,68.19,46.49,58.04,83743.00,623686.38,561980.71,1185667.09,945483.87,247627.89
ARUNACHAL PRADESH,2007,0,1,3,0,0,0,0,0,0,0,0,4,69.07,47.09,58.79,83743.00,632916.94,570298.03,1203214.97,959477.03,251292.79
ARUNACHAL PRADESH,2008,0,11,13,0,0,0,0,0,0,0,0,24,69.95,47.69,59.53,83743.00,641967.65,578453.29,1220420.94,973197.55,254886.27
ARUNACHAL PRADESH,2009,0,16,17,0,0,0,0,0,0,0,0,33,70.83,48.29,60.28,83743.00,650955.20,586551.63,1237506.83,986822.32,258454.68
ARUNACHAL PRADESH,2010,0,12,5,0,0,0,0,0,0,0,3,20,71.71,48.89,61.03,83743.00,660003.48,594704.70,1254708.18,1000539.15,262047.20
ARUNACHAL PRADESH,2011,0,20,15,0,0,0,0,0,0,0,0,35,72.59,49.49,61.78,83743.00,669045.52,602852.16,1271897.68,1014246.54,265637.25
ASSAM,2001,0,0,18,0,0,0,0,0,0,0,0,18,72.28,55.35,64.17,78438.00,14034600.60,13080633.88,27132661.95,23631859.56,3500802.40
ASSAM,2002,2,3,1,0,0,0,6,0,0,1,1,14,73.26,56.10,65.04,78438.00,14278802.65,13308236.91,27604770.27,24043053.91,3561716.36
ASSAM,2003,2,5,0,0,0,0,12,0,0,0,0,19,74.24,56.85,65.91,78438.00,14520114.42,13533146.12,28071290.89,24449381.52,3621909.36
ASSAM,2004,1,7,3,0,0,0,8,0,1,1,0,21,75.22,57.60,66.78,78438.00,14755340.27,13752383.08,28526045.80,24845461.50,3680584.30
ASSAM,2005,13,90,18,1,5,0,0,0,2,0,70,199,76.21,58.36,67.66,78438.00,14982572.51,13964169.78,28965346.90,25228081.61,3737265.29
ASSAM,2006,11,61,25,1,5,0,0,0,1,1,147,252,77.19,59.11,68.53,78438.00,15204314.58,14170839.50,29394034.04,25601457.22,3792576.82
ASSAM,2007,2,34,29,0,0,0,0,0,0,1,101,167,78.17,59.86,69.40,78438.00,15421736.28,14373482.50,29814368.73,25967558.06,3846810.67
ASSAM,2008,1,27,7,0,0,0,0,0,0,1,147,183,79.16,60.62,70.27,78438.00,15637640.59,14574711.26,30231769.89,26331103.87,3900666.02
ASSAM,2010,10,39,17,0,0,0,75,0,3,0,53,197,80.14,61.37,71.15,78438.00,15855003.80,14777299.74,30651991.49,26697106.21,3954885.28
ASSAM,2011,8,40,29,0,0,0,142,0,0,0,17,236,81.12,62.12,72.02,78438.00,16072217.35,14979748.75,31071923.77,27062856.57,4009067.20
BIHAR,2001,2,16,26,0,0,1,16,1,1,2,18,83,59.70,33.10,47.00,94163.00,43153964.00,39724832.00,82998509.00,74316709.00,8681800.00
BIHAR,2002,10,3,26,1,0,1,9,0,0,1,6,57,60.52,33.55,47.64,94163.00,43926419.96,40435906.49,84484182.31,75646978.09,8837204.22
BIHAR,2003,8,3,33,0,0,1,1,0,0,0,10,56,61.34,34.01,48.29,94163.00,44690739.66,41139491.27,85954207.08,76963235.51,8990971.57
BIHAR,2004,9,3,29,1,0,1,7,0,1,3,5,59,62.16,34.47,48.94,94163.00,45446013.16,41834748.67,87406833.18,78263914.19,9142918.99
BIHAR,2005,26,8,72,0,0,0,5,0,0,4,0,115,62.98,34.92,49.58,94163.00,46182238.58,42512471.60,88822823.88,79531789.60,9291034.28
BIHAR,2006,12,17,25,0,0,0,4,0,0,2,6,66,63.81,35.38,50.23,94163.00,46893445.05,43167163.66,90190695.37,80756579.16,9434116.21
BIHAR,2007,88,110,421,0,0,0,36,0,1,8,11,675,64.63,35.83,50.88,94163.00,47587468.04,43806037.68,91525517.66,81951776.53,9573741.13
BIHAR,2008,116,91,496,0,0,0,45,0,0,8,10,766,65.45,36.29,51.53,94163.00,48267968.83,44432464.02,92834332.56,83123686.94,9710645.63
BIHAR,2009,126,63,722,5,0,0,58,0,0,0,42,1016,66.28,36.75,52.18,94163.00,48943720.39,45054518.52,94134013.22,84287418.55,9846594.67
BIHAR,2010,202,114,1359,0,0,0,152,0,0,8,8,1843,67.10,37.20,52.83,94163.00,49624038.11,45680776.32,95442476.00,85459013.67,9983462.33
BIHAR,2011,124,91,1821,1,0,1,183,1,1,0,10,2233,67.92,37.66,53.47,94163.00,50303887.43,46306602.96,96750037.92,86629802.16,10120235.77
CHANDIGARH,2001,0,8,32,0,0,5,0,0,0,2,11,58,86.10,76.50,81.90,114.00,508224.00,392690.00,900635.00,92120.00,808515.00
CHANDIGARH,2002,3,6,22,0,1,8,0,0,0,0,9,49,87.28,77.55,83.02,114.00,517321.21,399719.15,916756.37,93768.95,822987.42
CHANDIGARH,2003,3,9,14,0,0,11,0,0,0,0,3,40,88.47,78.60,84.15,114.00,526322.60,406674.26,932707.93,95400.53,837307.40
CHANDIGARH,2004,3,13,36,0,0,11,0,0,0,0,3,66,89.65,79.66,85.28,114.00,535217.45,413547.06,948470.69,97012.80,851457.89
CHANDIGARH,2005,3,21,23,0,0,7,0,0,0,0,3,57,90.84,80.71,86.40,114.00,543887.97,420246.52,963835.92,98584.40,865251.51
CHANDIGARH,2006,1,8,43,0,0,11,0,0,0,0,1,64,92.03,81.76,87.54,114.00,552263.85,426718.32,978678.99,100102.60,878576.39
CHANDIGARH,2007,1,8,30,0,1,12,0,0,0,0,1,53,93.21,82.82,88.67,114.00,560437.35,433033.75,993163.44,101584.12,891579.32
CHANDIGARH,2008,0,10,36,0,0,11,0,0,0,0,9,66,94.40,83.87,89.79,114.00,568451.61,439226.13,1007365.68,103036.78,904328.90
CHANDIGARH,2009,1,21,27,0,0,9,0,0,0,0,13,71,95.59,84.93,90.92,114.00,576409.93,445375.30,1021468.80,104479.29,916989.51
CHANDIGARH,2010,1,16,23,0,0,6,0,0,0,0,13,59,96.77,85.98,92.05,114.00,584422.03,451566.01,1035667.21,105931.55,929735.66
CHANDIGARH,2011,3,15,40,0,0,7,0,0,0,0,9,74,97.96,87.04,93.18,114.00,592428.61,457752.47,1049855.85,107382.81,942473.04
CHHATTISGARH,2002,28,182,45,0,1,17,0,0,0,26,434,733,78.46,52.61,65.59,135191.00,10639524.43,10528679.19,21206728.07,16946056.20,4260671.87
CHHATTISGARH,2003,29,186,45,6,4,3,0,0,0,6,335,614,79.53,53.33,66.48,135191.00,10824652.15,10711878.20,21575725.14,17240917.58,4334807.56
CHHATTISGARH,2004,44,308,70,6,6,14,1,0,0,14,477,940,80.59,54.04,67.37,135191.00,11007588.77,10892908.95,21940354.90,17532289.09,4408065.81
CHHATTISGARH,2005,37,382,110,21,8,6,0,0,0,3,430,997,81.66,54.75,68.26,135191.00,11185911.71,11069374.07,22295788.65,17816312.17,4479476.48
CHHATTISGARH,2006,48,448,113,5,1,14,0,0,0,5,604,1238,82.73,55.47,69.15,135191.00,11358174.75,11239842.43,22639143.79,18090683.38,4548460.41
CHHATTISGARH,2007,45,368,103,10,3,7,3,0,0,4,481,1024,83.79,56.19,70.04,135191.00,11526275.74,11406192.10,22974203.12,18358425.49,4615777.63
CHHATTISGARH,2008,52,411,96,9,3,3,3,0,1,5,584,1167,84.86,56.90,70.93,135191.00,11691101.48,11569300.65,23302734.22,18620950.98,4681783.25
CHHATTISGARH,2009,47,394,121,7,4,3,5,0,0,2,738,1321,85.93,57.62,71.83,135191.00,11854776.90,11731270.86,23628972.50,18881644.29,4747328.21
CHHATTISGARH,2010,52,382,186,9,1,6,11,0,0,2,814,1463,86.99,58.33,72.72,135191.00,12019558.30,11894335.52,23957415.22,19144099.15,4813316.08
CHHATTISGARH,2011,59,477,283,21,5,7,15,0,1,5,909,1782,88.06,59.05,73.61,135191.00,12184226.25,12057287.92,24285631.81,19406373.30,4879258.51
D & N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,73.30,43.00,60.00,603.00,121731.00,98720.00,220490.00,170027.00,50463.00
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0,0,0,74.30,43.59,60.82,603.00,123909.98,100487.09,224436.77,173070.48,51366.29
D & N HAVELI,2003,0,0,1,0,0,0,0,0,0,0,0,1,75.31,44.18,61.65,603.00,126066.02,102235.56,228341.97,176081.91,52260.06
