STATE/UT,Year, LITERACY RATE %   (Male), LITERACY RATE % Female, LITERACY RATE %  Average,Area(km2),Population Male,Population Female,Population Total,Rural,Urban,predicted population increase rate  for next year,predicted literacy increase rate for next year
ANDHRA PRADESH,2001,70.3,50.4,60.50,191792.00,38286811.00,37440730.00,76210007.00,55401067.00,20808940.00,1.79,1.37
ARUNACHAL PRADESH,2001,63.80,43.50,54.30,83743.00,573951.00,517166.00,1091117.00,870087.00,227881.00,1.79,1.37
ASSAM,2001,71.30,54.60,63.30,78438.00,13787799.00,12850608.00,26655528.00,23216288.00,3439240.00,1.79,1.37
BIHAR,2001,59.70,33.10,47.00,94163.00,43153964.00,39724832.00,82998509.00,74316709.00,8681800.00,1.79,1.37
CHHATTISGARH,2001,77.40,51.90,64.70,135191.00,10452426.00,10343530.00,20833803.00,16648056.00,4185747.00,1.79,1.37
GOA,2001,88.40,75.40,81.10,3702.00,685617.00,658381.00,1347668.00,677091.00,670577.00,1.79,1.37
GUJARAT,2001,80.50,58.60,70.00,196024.00,26344053.00,24252939.00,50671017.00,31740767.00,18930250.00,1.79,1.37
HARYANA,2001,78.50,45.70,67.90,44212.00,11327658.00,9755331.00,21144564.00,15029260.00,6115304.00,1.79,1.37
HIMACHAL PRADESH,2001,85.40,67.40,76.50,55673.00,3085256.00,2991992.00,6077900.00,5482319.00,595581.00,1.79,1.37
JAMMU & KASHMIR,2001,66.60,43.00,55.50,42241.00,5300574.00,4769343.00,10143700.00,7627062.00,2516638.00,1.79,1.37
JHARKHAND,2001,67.30,38.90,53.60,79716.00,13861277.00,13048151.00,26945829.00,20952088.00,5993741.00,1.79,1.37
KARNATAKA,2001,76.10,56.90,66.60,191792.00,26856343.00,25877615.00,52850562.00,34889033.00,17961529.00,1.79,1.37
KERALA,2001,94.20,87.90,90.90,38863.00,15468664.00,16369955.00,31841374.00,23574449.00,8266925.00,1.79,1.37
MADHYA PRADESH,2001,76.10,50.30,63.70,308245.00,31456873.00,28928245.00,60348023.00,44380878.00,15967145.00,1.79,1.37
MAHARASHTRA,2001,86.00,67.00,67.90,307713.00,50334270.00,46417977.00,96878627.00,55777647.00,41100980.00,1.79,1.37
MANIPUR,2001,80.30,60.50,70.50,22327.00,1207338.00,1181296.00,2166788.00,1590820.00,575968.00,1.79,1.37
MEGHALAYA,2001,65.40,59.60,62.60,22429.00,1167840.00,1138229.00,2318822.00,1864711.00,454111.00,1.79,1.37
MIZORAM,2001,90.70,86.80,88.80,21081.00,459783.00,431275.00,891058.00,447567.00,441006.00,1.79,1.37
NAGALAND,2001,71.20,61.50,66.60,16579.00,1041686.00,946950.00,1990036.00,1647249.00,342787.00,1.79,1.37
ODISHA,2001,75.40,50.50,63.10,155707.00,18612340.00,18094580.00,36804660.00,31287422.00,5517238.00,1.79,1.37
PUNJAB,2001,75.20,63.40,69.70,50362.00,12963362.00,11325934.00,24358999.00,16096488.00,8262511.00,1.79,1.37
RAJASTHAN,2001,75.70,73.90,60.40,342239.00,29381657.00,27091465.00,56507188.00,43292813.00,13214375.00,1.79,1.37
SIKKIM,2001,76.00,60.40,68.80,7096.00,288217.00,252276.00,540851.00,480981.00,59870.00,1.79,1.37
TAMIL NADU,2001,82.40,64.40,73.50,130058.00,31268654.00,30842185.00,62405679.00,34921681.00,27483998.00,1.79,1.37
TRIPURA,2001,81.00,64.40,73.20,10486.00,1636138.00,1555030.00,3199203.00,2653453.00,545750.00,1.79,1.37
UTTAR PRADESH,2001,68.80,42.20,56.30,240928.00,87466301.00,78586558.00,166052859.00,6310275.00,2179074.00,1.79,1.37
UTTARAKHAND,2001,83.30,59.60,71.60,53483.00,4316401.00,4163161.00,166197921.00,131658339.00,34539582.00,1.79,1.37
WEST BENGAL,2001,77.00,59.60,68.60,88752.00,41487694.00,38733477.00,80176197.00,57748946.00,22427251.00,1.79,1.37
A & N ISLANDS,2001,86.30,75.20,81.30,8249.00,192985.00,163280.00,356152.00,239954.00,116198.00,1.79,1.37
CHANDIGARH,2001,86.10,76.50,81.90,114.00,508224.00,392690.00,900635.00,92120.00,808515.00,1.79,1.37
D & N HAVELI,2001,73.30,43.00,60.00,603.00,121731.00,98720.00,220490.00,170027.00,50463.00,1.79,1.37
DAMAN & DIU,2001,88.40,70.40,81.10,603.00,92478.00,65581.00,158204.00,100856.00,57348.00,1.79,1.37
DELHI,2001,87.30,74.70,81.70,1484.00,7570890.00,6212086.00,13850507.00,944727.00,12905780.00,1.79,1.37
LAKSHADWEEP,2001,92.50,80.50,86.70,36.00,31118.00,29477.00,60650.00,33683.00,26967.00,1.79,1.37
PUDUCHERRY,2001,88.60,73.90,81.20,479.00,486705.00,487124.00,974345.00,325726.00,648619.00,1.79,1.37
ANDHRA PRADESH,2002,71.26,51.09,61.33,191792.00,38972144.92,38110919.07,77574166.13,56392746.10,21181420.03,1.74,1.36
ARUNACHAL PRADESH,2002,64.67,44.10,55.04,83743.00,584224.72,526423.27,1110647.99,885661.56,231960.07,1.74,1.36
ASSAM,2002,72.28,55.35,64.17,78438.00,14034600.60,13080633.88,27132661.95,23631859.56,3500802.40,1.74,1.36
BIHAR,2002,60.52,33.55,47.64,94163.00,43926419.96,40435906.49,84484182.31,75646978.09,8837204.22,1.74,1.36
CHHATTISGARH,2002,78.46,52.61,65.59,135191.00,10639524.43,10528679.19,21206728.07,16946056.20,4260671.87,1.74,1.36
GOA,2002,89.61,76.43,82.21,3702.00,697889.54,670166.02,1371791.26,689210.93,682580.33,1.74,1.36
GUJARAT,2002,81.60,59.40,70.96,196024.00,26815611.55,24687066.61,51578028.20,32308926.73,19269101.48,1.74,1.36
HARYANA,2002,79.58,46.33,68.83,44212.00,11530423.08,9929951.42,21523051.70,15298283.75,6224767.94,1.74,1.36
HIMACHAL PRADESH,2002,86.57,68.32,77.55,55673.00,3140482.08,3045548.66,6186694.41,5580452.51,606241.90,1.74,1.36
JAMMU & KASHMIR,2002,67.51,43.59,56.26,42241.00,5395454.27,4854714.24,10325272.23,7763586.41,2561685.82,1.74,1.36
JHARKHAND,2002,68.22,39.43,54.33,79716.00,14109393.86,13281712.90,27428159.34,21327130.38,6101028.96,1.74,1.36
